frame,inliers,dx_px,dy_px,rot_deg,dt_ms
151,438,17.481,2.880,0.787,29.71
152,395,14.952,3.463,1.111,38.83
153,423,6.298,3.117,0.523,36.88
154,404,9.086,3.811,0.484,35.79
155,400,9.446,2.630,0.385,58.82
156,382,7.784,6.135,0.072,26.38
157,325,9.929,4.825,-0.135,20.75
158,264,17.671,6.970,-0.214,15.02
159,315,2.196,12.871,-0.643,19.03
160,281,17.024,0.914,0.708,23.48
161,297,13.186,-3.068,1.176,15.67
162,282,6.825,-1.524,0.750,17.41
163,277,6.898,4.349,-0.335,17.88
164,263,7.843,8.927,-1.066,18.91
165,259,6.187,12.415,-1.682,20.65
166,252,13.206,1.904,0.169,16.18
167,249,9.530,-1.270,0.438,17.26
168,229,2.260,4.699,0.023,18.43
169,216,6.245,1.842,0.169,30.44
170,206,5.318,4.700,-0.279,18.87
171,201,4.935,9.834,-1.252,16.61
172,200,-4.589,7.587,-1.066,11.74
173,198,4.860,4.995,-0.431,10.38
174,172,11.820,-0.796,0.597,15.74
175,165,-1.329,0.241,0.518,11.94
176,159,-1.322,0.355,0.314,14.76
177,118,-14.003,5.920,-0.284,14.58
178,131,-22.507,6.168,-1.014,14.24
179,136,1.347,3.833,-0.266,12.11
180,140,5.828,2.773,-0.321,11.44
181,140,11.991,-2.265,0.479,11.71
182,111,21.177,-5.174,1.360,13.43
183,63,6.226,-1.409,1.494,81.20
184,84,5.474,-2.024,0.491,113.62
185,82,2.432,1.521,0.035,147.72
186,81,10.905,3.666,-0.340,91.82
187,82,-1.312,3.810,-0.398,46.35
188,78,-4.712,7.641,-0.663,152.41
189,1582,6.051,5.006,-0.252,568.84
190,1232,12.812,5.376,0.112,126.20
191,1066,14.788,0.317,0.754,108.49
192,1056,16.710,2.092,0.533,40.24
193,765,10.795,1.742,0.495,34.88
194,1337,-4.021,3.190,-0.079,36.88
195,1473,4.515,5.284,-0.420,35.11
196,1395,0.978,4.954,-0.496,29.29
197,1215,-6.749,11.928,-1.059,40.88
198,1367,0.278,11.023,-1.139,26.94
199,1149,-7.695,11.528,-1.323,29.51
200,522,-0.299,74.915,-2.962,56.99
201,802,-1.383,13.556,-0.197,87.87
202,967,-7.285,12.233,-0.823,43.70
203,836,0.059,14.150,-1.013,32.51
204,1070,4.886,11.265,-0.747,27.63
205,1130,0.375,9.750,-0.615,25.71
206,1108,-2.558,6.816,-0.332,24.85
207,691,-16.774,8.498,-0.173,41.95
208,898,-9.304,7.436,-0.229,21.83
209,996,-5.292,3.940,0.021,32.88
210,1015,-1.060,1.384,0.193,23.36
211,1044,5.517,2.260,0.139,27.85
212,1030,-1.227,4.689,-0.381,27.90
213,1024,8.973,5.161,-0.530,30.74
214,859,7.993,3.653,-0.380,23.24
215,910,13.682,4.141,-0.305,28.55
216,971,8.993,3.756,-0.275,21.95
217,758,17.379,0.426,0.203,30.62
218,749,12.079,-1.426,0.517,21.11
219,873,2.744,-4.401,0.829,26.19
220,820,-6.630,3.494,0.109,21.13
221,888,3.534,1.550,-0.157,22.07
222,853,5.993,5.341,-0.484,21.51
223,590,-13.337,11.461,-2.800,23.88
224,657,-9.467,-0.656,-0.588,22.43
225,843,-7.508,4.946,-0.792,26.34
226,881,-5.495,4.492,-0.736,23.03
227,886,-8.972,3.171,-0.697,26.69
228,862,0.503,0.903,-0.218,21.36
229,897,8.332,1.286,0.130,21.27
230,796,13.960,-0.460,0.324,23.00
231,716,12.376,-0.826,0.317,23.24
232,746,13.563,0.096,0.115,24.30
233,756,14.232,2.045,0.018,27.76
234,691,14.542,3.979,-0.270,17.67
235,548,8.084,5.536,-0.508,19.66
236,618,12.298,8.016,-0.873,21.92
237,636,-5.894,6.582,-0.601,19.05
238,611,-11.695,8.379,-0.761,19.22
239,619,-5.835,9.394,-1.090,21.84
240,616,-2.481,9.706,-1.237,16.21
241,600,2.541,8.239,-0.977,18.93
242,543,7.917,10.702,-0.694,19.85
243,554,4.421,5.213,-0.110,20.66
244,551,-3.099,3.900,-0.098,18.13
245,506,-5.910,7.426,-0.360,13.86
246,470,-2.017,8.201,-0.649,19.92
247,423,12.905,7.276,-0.687,24.21
248,409,15.678,8.656,-1.228,51.51
249,479,1.459,5.616,-0.761,13.27
250,434,-1.105,6.613,-0.544,15.71
251,464,-2.964,8.764,-0.737,18.70
252,455,-0.119,6.579,-0.805,18.18
253,415,-8.352,7.998,-1.210,18.27
254,440,-9.897,20.150,-2.544,16.81
255,449,-2.565,11.828,-1.499,18.23
256,433,-7.141,10.001,-1.277,16.25
257,396,-1.540,9.896,-1.127,14.95
258,407,0.131,6.551,-0.577,17.88
259,418,-13.244,9.244,-0.820,16.93
260,421,2.800,8.435,-0.659,18.50
261,368,10.312,7.420,-0.396,17.03
262,391,-5.140,9.536,-0.944,17.73
263,389,-7.609,11.204,-1.510,16.16
264,377,-7.800,13.799,-1.952,15.58
265,323,-1.903,19.324,-2.457,15.99
266,340,-0.239,15.571,-1.876,13.66
267,285,-10.237,15.732,-1.462,12.31
268,325,-7.754,11.079,-0.791,14.03
269,316,-9.443,8.023,-0.642,16.72
270,313,-4.685,7.163,-0.558,15.09
271,301,-1.109,7.741,-0.609,19.09
272,302,1.038,3.255,-0.237,15.88
273,297,-10.837,7.179,-0.637,16.18
274,293,-6.523,9.393,-1.018,14.73
275,293,-1.420,5.067,-1.032,15.65
276,293,-4.413,8.088,-1.486,15.88
277,271,5.361,8.598,-1.453,14.61
278,280,4.662,4.939,-0.589,16.22
279,283,-1.592,6.150,-0.521,14.59
280,272,7.470,6.804,-0.815,16.46
281,268,2.861,7.011,-1.129,24.39
282,264,-0.044,6.533,-1.171,18.99
283,257,-6.599,7.709,-1.199,27.06
284,264,-9.078,9.757,-1.310,11.65
285,261,-1.959,9.437,-1.247,13.14
286,261,0.720,10.521,-1.142,16.57
287,249,-8.638,13.076,-1.250,15.55
288,257,-11.319,12.394,-0.992,15.34
289,225,-0.924,13.023,-1.133,16.04
290,250,7.153,5.992,-0.393,22.39
291,253,0.391,6.564,-0.528,21.92
292,243,2.970,8.223,-0.779,12.62
293,202,8.982,10.898,-1.241,11.34
294,200,4.415,7.279,-0.937,12.93
295,200,1.977,7.981,-0.841,14.78
296,199,-2.118,8.142,-0.980,10.51
297,199,-1.750,5.318,-0.616,16.43
298,199,-5.181,11.236,-1.085,26.17
299,199,-1.664,12.712,-1.430,14.22
300,199,-3.085,5.922,-0.854,12.89
301,198,-2.636,8.500,-1.092,14.87
302,190,-1.855,4.352,-0.794,15.97
303,192,-15.123,16.459,-1.949,14.90
304,192,-1.945,11.268,-1.465,13.67
305,190,-0.302,6.964,-0.938,12.54
306,187,-14.396,14.030,-1.338,25.80
307,189,-9.620,8.651,-0.611,16.65
308,186,-3.491,13.881,-1.524,17.64
309,186,-0.330,10.705,-1.018,11.91
310,184,-1.587,17.671,-1.878,10.80
311,166,6.269,16.915,-2.018,15.21
312,83,14.194,15.764,-2.264,11.13
313,137,-3.101,4.088,-0.655,10.11
314,137,-7.987,7.588,-0.741,13.78
315,137,-4.847,11.720,-1.039,12.99
316,137,-5.154,6.949,-0.742,11.72
317,129,-14.730,4.539,-0.674,10.36
318,131,-24.368,32.756,-3.325,10.00
319,136,-1.047,12.269,-1.520,9.22
320,135,-5.537,13.934,-1.781,13.31
321,135,-5.148,12.598,-1.366,10.10
322,134,-2.091,10.301,-1.091,11.63
323,84,-46.256,53.357,-5.076,14.84
324,123,-5.756,10.063,-0.941,12.69
325,117,3.473,12.764,-1.521,9.55
326,120,2.745,3.395,-0.618,14.58
327,113,4.898,24.074,-2.045,10.67
328,108,4.545,6.975,-0.728,18.45
329,108,0.111,7.183,-0.680,13.83
330,108,-7.560,9.291,-0.790,12.27
331,108,-11.855,8.205,-0.592,11.96
332,95,-18.626,3.802,-0.206,13.87
333,103,-31.034,25.067,-2.650,12.37
334,86,-18.320,14.090,-1.214,13.75
335,97,-8.202,17.378,-2.134,12.61
336,108,4.240,8.844,-1.686,9.66
337,96,6.577,11.166,-2.227,19.57
338,106,-1.284,10.260,-1.717,11.77
339,108,-7.630,9.737,-1.655,14.10
340,108,-1.819,10.814,-1.544,10.13
341,99,9.222,-2.837,0.549,10.83
342,88,5.390,7.129,-0.529,13.46
343,93,21.565,0.669,0.080,14.86
344,103,10.956,-6.414,0.757,15.56
345,93,8.384,1.000,0.401,22.53
346,99,-3.414,-7.189,1.140,13.70
347,95,-13.378,3.562,-0.237,12.75
348,102,-5.892,7.133,-1.106,13.47
349,99,-3.238,8.206,-1.407,13.57
350,100,-9.117,11.419,-1.847,13.80
351,102,-10.914,8.128,-1.477,10.08
352,89,-13.424,19.827,-2.951,11.54
353,99,1.846,8.350,-1.388,13.79
354,88,12.188,9.971,-1.381,9.66
355,80,10.183,11.764,-1.187,14.41
356,97,-12.224,6.627,-0.703,14.77
357,99,-7.656,12.505,-1.012,25.45
358,99,2.560,9.674,-0.691,14.61
359,94,-9.571,16.542,-1.325,11.56
360,97,-11.996,6.194,-0.401,13.89
361,98,-11.072,11.506,-1.301,14.74
362,95,-9.999,15.500,-1.741,12.98
363,99,-6.774,16.835,-1.996,13.50
364,99,-7.641,11.899,-1.715,10.84
365,99,-11.099,23.088,-1.813,25.24
366,94,-4.936,9.605,0.385,13.59
367,70,12.898,11.170,-0.349,9.41
368,95,13.612,3.761,0.689,9.72
369,97,-6.671,8.330,-0.212,15.66
370,98,-18.039,8.392,-1.241,27.78
