Sync time,VO_lat,Vo_long,GPS_lat,GPS_LONG
1758638176.61563,47.69341350001629,-2.8159135000065336,47.69341350001629,-2.8159135000065336
1758638176.7229643,47.693425364222044,-2.8159268779858073,47.6934342,-2.8159218
1758638176.835835,47.69344467272115,-2.8159497766687935,47.693438281439754,-2.8159236184632572
1758638176.9417694,47.693456043137125,-2.8159667086652584,47.6934544,-2.8159308
1758638177.0515692,47.69346854605128,-2.815975513521415,47.693461408181186,-2.8159344298784603
1758638177.1598482,47.69347715825924,-2.815997664755101,47.6934739,-2.8159409
1758638177.269447,47.69348434377084,-2.8160402925817936,47.6934739,-2.8159409
1758638177.378902,47.693500243585035,-2.81603915959523,47.69348680751365,-2.8159479232059588
1758638177.4879882,47.6935214267968,-2.8160516907344806,47.693508482246564,-2.815960176499297
1758638177.5994585,47.69353929670708,-2.816048839184071,47.6935139,-2.8159633
1758638177.7070525,47.69355080181734,-2.816071594243447,47.6935319102594,-2.815974544984295
1758638177.8161094,47.69356801834899,-2.816053773107629,47.693533690641786,-2.8159756642645455
1758638177.9241056,47.6935827047977,-2.8160423688708596,47.6935525,-2.815989
1758638178.0365405,47.69359651290532,-2.8160305417084834,47.69355651484971,-2.815992115690659
1758638178.1459272,47.69361316832674,-2.8160032203770755,47.6935717,-2.8160039
1758638178.2536235,47.69363300397562,-2.8159324214745225,47.6935717,-2.8160039
1758638178.3631144,47.69366251682063,-2.8158780279007307,47.69358034218342,-2.816011307585789
1758638178.4725535,47.693675556191884,-2.8158742298196104,47.69360071549519,-2.8160293477929867
1758638178.5800722,47.69369349513654,-2.8158941982446066,47.6936089,-2.8160368
1758638178.688905,47.693701356341805,-2.8159572510814646,47.69362238263091,-2.816051161932924
1758638178.795673,47.69372217092378,-2.8159292327736085,47.6936273,-2.8160564
1758638178.9021754,47.693736162149534,-2.816009803047658,47.693642618570095,-2.816074920757068
1758638179.0105965,47.6937486404357,-2.816075025817711,47.693645,-2.8160778
1758638179.1166458,47.693765514246074,-2.8161115873546327,47.6936627,-2.8161002
1758638179.224945,47.69377236986287,-2.8161621739162928,47.6936627,-2.8161002
1758638179.3628242,47.69377804227382,-2.816217711398047,47.693670911820185,-2.8161110547048414
1758638179.43827,47.693804709253314,-2.816185174063795,47.69368412996616,-2.8161284525401578
1758638179.5481112,47.69383831596598,-2.816144900509789,47.6936979,-2.8161464
1758638179.6554215,47.69382228532694,-2.8162401889164093,47.69370458499934,-2.8161561489573685
1758638179.76467,47.69382840394668,-2.8162631364507873,47.6937147,-2.8161709
1758638179.8697908,47.693817640533254,-2.8163147349646906,47.69372374488028,-2.8161850901714565
1758638179.985489,47.69382924915231,-2.816331917020953,47.6937314,-2.8161971
1758638180.0971622,47.693824835592025,-2.816385130896093,47.693744934380724,-2.8162190322193648
1758638180.2074702,47.693785406024645,-2.8165697969792634,47.693748,-2.816224
1758638180.3200624,47.69377929100842,-2.816632766237766,47.69374874910369,-2.8162252145231395
1758638180.4282372,47.693783436909094,-2.8166625980081794,47.6937669676082,-2.816254955277515
1758638180.5429566,47.693801960984786,-2.816658938572411,47.6937813,-2.8162796
1758638180.6542835,47.69379894496889,-2.8167154039995355,47.69378756189792,-2.8162905776482017
1758638180.762151,47.693789729616825,-2.8167764414614256,47.6937975,-2.816308
1758638180.8712287,47.693786860332125,-2.8168301733735537,47.69380667381227,-2.816323567681418
1758638180.9822395,47.693795427125664,-2.8168316187566798,47.693814,-2.816336
1758638181.1040452,47.69380660589052,-2.8168171260663737,47.69382876535843,-2.8163610215355477
1758638181.201941,47.69380790118458,-2.8168326926837364,47.6938307,-2.8163643
1758638181.311283,47.69380277327796,-2.8168765414036914,47.6938307,-2.8163643
1758638181.421412,47.69378675724954,-2.816929701403226,47.69384824827398,-2.8163943247865135
1758638181.5283144,47.69378190368044,-2.8169690796153675,47.6938637,-2.8164208
1758638181.6401055,47.69376491593785,-2.8170100600056687,47.69386778743409,-2.8164276776585515
1758638181.7473457,47.69373548901363,-2.817056925933711,47.6938804,-2.8164489
1758638181.8558805,47.693718575673536,-2.8170832088878703,47.69388732311458,-2.8164602909385286
1758638181.964835,47.69370456942313,-2.8170858751129026,47.6938976,-2.8164772
1758638182.073942,47.69369971162835,-2.817068524166074,47.69390780461983,-2.816493469079617
1758638182.1825633,47.693682036128735,-2.817076695656745,47.6939151,-2.8165051
1758638182.291975,47.69365749809579,-2.817138845272367,47.6939151,-2.8165051
1758638182.402854,47.6936530203088,-2.8171359540054945,47.69393071311982,-2.816529348308988
1758638182.511515,47.693665985235924,-2.817092366042196,47.693950355197565,-2.8165597478194337
1758638182.6227355,47.69368750240429,-2.8170420689333118,47.69395241454851,-2.8165628753756002
1758638182.732098,47.69369620707594,-2.817027266416644,47.6939696,-2.8165887
1758638182.8443894,47.69370267589028,-2.817026018755256,47.693975006805914,-2.816596723930052
1758638182.951153,47.69373162077399,-2.816972612973622,47.6939884,-2.8166166
1758638183.0594528,47.69375652054415,-2.816926819228114,47.69399703311907,-2.816629352475375
1758638183.1702795,47.693785294898866,-2.8168705011696815,47.6940081,-2.8166457
1758638183.278491,47.693807691649084,-2.816832816720417,47.6940081,-2.8166457
1758638183.3825786,47.69382109504048,-2.816820950643212,47.6940209541655,-2.8166654498897064
1758638183.4980493,47.69384005324006,-2.816793537688005,47.694043124529884,-2.8166995961502375
1758638183.6061354,47.69385141126728,-2.816811725557256,47.6940465,-2.8167048
1758638183.743571,47.69386604359825,-2.8168132291402435,47.6940659,-2.8167351
1758638183.8267667,47.69388612877958,-2.81679439766365,47.69406808283174,-2.8167385524379602
1758638183.9330816,47.69390017131134,-2.816801133872082,47.6940855,-2.8167661
1758638184.042583,47.69391670009847,-2.8167849355913024,47.694090755865425,-2.8167746711036177
1758638184.151879,47.69393042320285,-2.8167996230604073,47.694105,-2.8167979
1758638184.2595856,47.69395053656568,-2.8168183870884027,47.694105,-2.8167979
1758638184.374311,47.69398502105927,-2.8167728979495315,47.694116266778416,-2.8168172060942696
1758638184.4820392,47.693981967839,-2.816828127667729,47.69413681778229,-2.8168532463705995
1758638184.5926783,47.69398317790743,-2.8168521605172434,47.6941432,-2.8168646
1758638184.69935,47.69399883733716,-2.816858602120883,47.69415902313404,-2.8168939021000754
1758638184.809175,47.69401363993661,-2.8168699765578706,47.6941621,-2.8168996
1758638184.918419,47.6940386665615,-2.816868745613944,47.6941808,-2.8169356
1758638185.0273898,47.694052481631985,-2.8169173436967525,47.69418297558743,-2.8169399511748687
1758638185.1361494,47.69407076062439,-2.8169303892646473,47.6941993,-2.8169726
1758638185.2485526,47.694075572980445,-2.8169603738929574,47.6941993,-2.8169726
1758638185.3548298,47.69408453442405,-2.8169729857886017,47.6942064343919,-2.81698749598309
1758638185.464981,47.694092049053275,-2.8169821114915528,47.6942264325756,-2.8170298469860935
1758638185.5750046,47.69410136257196,-2.8169960452510225,47.6942356,-2.8170496
1758638185.6827705,47.694118236132894,-2.817042181527762,47.69424761817777,-2.817076053419228
1758638185.7927415,47.694130946276026,-2.817068705651372,47.6942535,-2.817089
1758638185.904302,47.694151376162004,-2.8170951875646812,47.69426901760859,-2.8171250008519273
1758638186.0151508,47.69418156325157,-2.817089805580887,47.694271,-2.8171296
1758638187.2789524,47.694204170640035,-2.8170798481384653,47.694368,-2.8173934
1758638187.2864702,47.69422491732789,-2.8170741057441,47.694368,-2.8173934
1758638187.309842,47.69422946962368,-2.8171309969766893,47.694368,-2.8173934
1758638187.4162076,47.69423338453912,-2.8171508895946267,47.69438308434701,-2.8174402744166427
1758638187.5234604,47.694262663097206,-2.8171566609149354,47.6943976,-2.8174875
1758638187.6334772,47.694277721553846,-2.8171666147621153,47.6944001521751,-2.817496120283714
1758638187.7418308,47.69429114664172,-2.8171777842919576,47.6944119,-2.8175358
1758638187.849109,47.694300575269345,-2.817201245155789,47.69441652011603,-2.817552070843423
