frame;timestamp
1;1758638060.4746182
2;1758638060.4844697
3;1758638060.5066972
4;1758638060.615987
5;1758638060.7365983
6;1758638060.838568
7;1758638060.9483187
8;1758638061.0591824
9;1758638061.1661334
10;1758638061.27487
11;1758638061.3845322
12;1758638061.494965
13;1758638061.6086037
14;1758638061.7187839
15;1758638061.8443787
16;1758638061.9445293
17;1758638062.0537488
18;1758638062.1637871
19;1758638062.265863
20;1758638062.380372
21;1758638062.4905055
22;1758638062.6003299
23;1758638062.713078
24;1758638062.8385959
25;1758638062.9413652
26;1758638063.0505853
27;1758638063.1606884
28;1758638063.2709942
29;1758638063.3820224
30;1758638063.4912183
31;1758638063.5999258
32;1758638063.7094438
33;1758638063.8365464
34;1758638063.943676
35;1758638064.052788
36;1758638064.166139
37;1758638064.2764037
38;1758638064.3896317
39;1758638064.4976015
40;1758638064.610307
41;1758638064.7191415
42;1758638064.8299298
43;1758638064.9432876
44;1758638065.055983
45;1758638065.1617947
46;1758638065.2724478
47;1758638065.3813453
48;1758638065.4905255
49;1758638065.5945904
50;1758638065.7089067
51;1758638065.827614
52;1758638065.9261272
53;1758638066.0371413
54;1758638066.1485302
55;1758638066.256951
56;1758638066.367089
57;1758638066.4757824
58;1758638066.5852926
59;1758638066.6968164
60;1758638066.8064058
61;1758638066.9183798
62;1758638067.0282686
63;1758638067.1359324
64;1758638067.2475085
65;1758638067.3599315
66;1758638067.4647837
67;1758638067.5751328
68;1758638067.7044644
69;1758638067.7975523
70;1758638067.904961
71;1758638068.0163524
72;1758638068.1173413
73;1758638068.2291768
74;1758638068.3517642
75;1758638068.4683995
76;1758638068.5723033
77;1758638068.6815345
78;1758638068.794373
79;1758638068.9039397
80;1758638069.0122814
81;1758638069.1229448
82;1758638069.2318163
83;1758638069.3411336
84;1758638069.4518747
85;1758638069.56254
86;1758638069.677674
87;1758638069.7894726
88;1758638069.9048958
89;1758638070.0123081
90;1758638070.122481
91;1758638070.2308214
92;1758638070.3406918
93;1758638070.4519074
94;1758638070.5609496
95;1758638070.6709461
96;1758638070.7802851
97;1758638072.4443152
98;1758638072.454468
99;1758638072.5152893
100;1758638072.6524458
101;1758638072.7610488
102;1758638072.8666718
103;1758638072.9804196
104;1758638073.104124
105;1758638073.24048
106;1758638073.3482137
107;1758638073.4620097
108;1758638073.5747917
109;1758638073.6846614
110;1758638073.7990239
111;1758638073.9159744
112;1758638074.026529
113;1758638074.135893
114;1758638074.2832215
115;1758638074.4091833
116;1758638074.529671
117;1758638074.6314142
118;1758638074.7481654
119;1758638074.85544
120;1758638074.964107
121;1758638075.0727916
122;1758638075.1855178
123;1758638075.2969983
124;1758638075.4079158
125;1758638075.5122476
126;1758638075.6210015
127;1758638075.7359076
128;1758638075.845441
129;1758638075.9451368
130;1758638076.3335452
131;1758638076.3877115
132;1758638076.5015628
133;1758638076.613582
134;1758638076.7226875
135;1758638076.8400438
136;1758638076.9493854
137;1758638077.0614817
138;1758638077.1712708
139;1758638077.27898
140;1758638077.3875427
141;1758638077.4983687
142;1758638077.607799
143;1758638077.7230036
144;1758638077.830166
145;1758638077.9433382
146;1758638078.1327324
147;1758638078.1678674
148;1758638078.3014305
149;1758638078.3936617
150;1758638078.5030377
151;1758638078.6156142
152;1758638078.7358928
153;1758638078.8481677
154;1758638078.9598763
155;1758638079.0690107
156;1758638079.181463
157;1758638079.289942
158;1758638079.4026864
159;1758638079.510819
160;1758638079.6217072
161;1758638079.7322075
162;1758638079.840414
163;1758638079.9503217
164;1758638080.0615757
165;1758638080.170731
166;1758638080.2798498
167;1758638080.3971555
168;1758638080.5123234
169;1758638080.632733
170;1758638080.7374082
171;1758638080.8485558
172;1758638081.0018246
173;1758638081.0799742
174;1758638081.1857147
175;1758638081.3000236
176;1758638081.4051178
177;1758638081.5206327
178;1758638081.6272829
179;1758638081.7368937
180;1758638081.8477895
181;1758638081.9575481
182;1758638082.0660224
183;1758638082.2716448
184;1758638082.2759318
185;1758638082.3973129
186;1758638082.5087147
187;1758638082.6310358
188;1758638082.7360015
189;1758638082.844849
190;1758638082.9617133
191;1758638083.0651615
192;1758638083.1769674
193;1758638083.28646
194;1758638083.394891
195;1758638083.5042524
196;1758638083.6128194
197;1758638083.723284
198;1758638083.8323529
199;1758638083.9769359
200;1758638084.0534976
201;1758638084.1602411
202;1758638084.2687488
203;1758638084.3793411
204;1758638084.4885647
205;1758638084.6045616
206;1758638084.7130957
207;1758638084.822261
208;1758638084.9327364
209;1758638085.0472841
210;1758638085.1696632
211;1758638085.2849429
