timestamp;Roll;Lat;Lng;Pitch
348407.22553011135;-17.639707565307617;47.6929386;-2.8160443;8.351618766784668
348507.22553011135;-16.945850372314453;47.6929547;-2.8160274;8.306717872619629
348607.22553011135;-16.20133399963379;47.6929547;-2.8160274;8.302371978759766
348707.22553011135;-14.828490257263184;47.6929712;-2.816011;8.393464088439941
348807.22553011135;-14.18956184387207;47.6929712;-2.816011;8.33884334564209
348907.22553011135;-14.65439510345459;47.6929876;-2.8159958;8.129434585571289
349007.22553011135;-15.396075248718262;47.6929876;-2.8159958;8.06678295135498
349107.22553011135;-16.526039123535156;47.6929876;-2.8159958;7.977542877197266
349207.22553011135;-17.340545654296875;47.6930044;-2.8159815;7.96143102645874
349307.22553011135;-16.94961166381836;47.6930216;-2.8159681;7.951541900634766
349407.22553011135;-16.513120651245117;47.6930216;-2.8159681;7.9544806480407715
349507.22553011135;-15.377999305725098;47.6930389;-2.8159558;8.018988609313965
349607.22553011135;-15.528294563293457;47.6930389;-2.8159558;7.94484806060791
349707.22553011135;-15.299304008483887;47.6930565;-2.8159444;7.9151787757873535
349807.22553011135;-15.487408638000488;47.6930565;-2.8159444;7.845845699310303
349907.22553011135;-15.418992042541504;47.6930741;-2.8159339;7.791292190551758
350007.22553011135;-15.699115753173828;47.6930741;-2.8159339;7.737906455993652
350107.22553011135;-16.385225296020508;47.6930928;-2.8159247;7.554215908050537
350207.22553011135;-16.509130477905273;47.6930928;-2.8159247;7.4658684730529785
350307.22553011135;-16.927635192871094;47.6931115;-2.8159162;7.267452239990234
350407.22553011135;-16.90937042236328;47.6931115;-2.8159162;7.262625217437744
350507.22553011135;-16.786771774291992;47.6931309;-2.8159089;7.352322578430176
350607.22553011135;-16.444894790649414;47.6931309;-2.8159089;7.527062892913818
350707.22553011135;-15.496109962463379;47.6931505;-2.8159027;7.789210319519043
350807.22553011135;-15.114876747131348;47.6931505;-2.8159027;7.881311416625977
350907.22553011135;-15.782964706420898;47.6931696;-2.8158978;7.856062889099121
351007.22553011135;-16.190895080566406;47.6931696;-2.8158978;7.887187957763672
351107.22553011135;-15.85765266418457;47.6931696;-2.8158978;7.929608345031738
351207.22553011135;-15.44583511352539;47.6931894;-2.8158937;7.921238899230957
351307.22553011135;-14.695235252380371;47.6932095;-2.8158902;7.897698402404785
351407.22553011135;-14.593063354492188;47.6932095;-2.8158902;7.825882434844971
351507.22553011135;-14.574628829956055;47.6932296;-2.8158877;7.83154821395874
351607.22553011135;-14.804312705993652;47.6932296;-2.8158877;7.856922626495361
351707.22553011135;-14.878179550170898;47.6932501;-2.8158864;7.98417329788208
351807.22553011135;-14.946449279785156;47.6932501;-2.8158864;8.138778686523438
351907.22553011135;-14.833765029907227;47.6932704;-2.8158861;8.311873435974121
352007.22553011135;-14.615700721740723;47.6932704;-2.8158861;8.355701446533203
352107.22553011135;-14.955574035644531;47.6932704;-2.8158861;8.403915405273438
352207.22553011135;-15.146450996398926;47.6932906;-2.8158869;8.36664867401123
352307.22553011135;-15.455888748168945;47.6933105;-2.8158886;8.269697189331055
352407.22553011135;-15.374285697937012;47.6933105;-2.8158886;8.196537017822266
352507.22553011135;-15.831368446350098;47.6933308;-2.8158913;8.078240394592285
352607.22553011135;-16.07777214050293;47.6933308;-2.8158913;8.024438858032227
352707.22553011135;-16.05581283569336;47.6933517;-2.8158952;7.927613258361816
352807.22553011135;-15.863292694091797;47.6933517;-2.8158952;7.909815311431885
352907.22553011135;-15.93130111694336;47.6933726;-2.8159002;7.951223373413086
353007.22553011135;-16.136920928955078;47.6933726;-2.8159002;7.95256233215332
353107.22553011135;-16.014780044555664;47.6933726;-2.8159002;7.920788764953613
353207.22553011135;-15.614344596862793;47.6933931;-2.8159064;7.874427318572998
353307.22553011135;-15.440471649169922;47.6934135;-2.8159135;7.727707862854004
353407.22553011135;-15.40078353881836;47.6934135;-2.8159135;7.663984298706055
353507.22553011135;-15.172637939453125;47.6934342;-2.8159218;7.611480236053467
353607.22553011135;-15.017290115356445;47.6934342;-2.8159218;7.634286403656006
353707.22553011135;-14.832331657409668;47.6934544;-2.8159308;7.592761516571045
353807.22553011135;-14.76280403137207;47.6934544;-2.8159308;7.556898593902588
353907.22553011135;-14.543153762817383;47.6934739;-2.8159409;7.495968341827393
354007.22553011135;-13.891031265258789;47.6934739;-2.8159409;7.530091762542725
354107.22553011135;-14.018638610839844;47.6934739;-2.8159409;7.606799125671387
354207.22553011135;-13.938804626464844;47.6934943;-2.815952;7.570799827575684
354307.22553011135;-14.380836486816406;47.6935139;-2.8159633;7.580939292907715
354407.22553011135;-14.371611595153809;47.6935139;-2.8159633;7.5660810470581055
354507.22553011135;-14.343140602111816;47.6935336;-2.8159756;7.52520227432251
354607.22553011135;-14.85920524597168;47.6935336;-2.8159756;7.556310653686523
354707.22553011135;-15.520814895629883;47.6935525;-2.815989;7.480212688446045
354807.22553011135;-16.010046005249023;47.6935525;-2.815989;7.466780185699463
354907.22553011135;-17.36393928527832;47.6935717;-2.8160039;7.3084001541137695
355007.22553011135;-18.980873107910156;47.6935717;-2.8160039;7.096438407897949
355107.22553011135;-20.059476852416992;47.6935717;-2.8160039;7.152866840362549
355207.22553011135;-20.870325088500977;47.6935899;-2.8160195;7.200157165527344
355307.22553011135;-20.614463806152344;47.6936089;-2.8160368;7.689315319061279
355407.22553011135;-19.52478790283203;47.6936089;-2.8160368;7.7212815284729
355507.22553011135;-19.95863151550293;47.6936273;-2.8160564;7.795319080352783
355607.22553011135;-19.589794158935547;47.6936273;-2.8160564;7.778112411499023
